Wordlist,Size,coupahost.com,dnssec-name-and-shame.com,nlnet.nl,nsec3.kukk.uk,salesforce.com,service-now.com,verisign.com
2m-subdomains.txt,2167059,454,1,28,2573,284,1802,184
alexaTop1mAXFRcommonSubdomains.txt,50000,259,1,27,1437,154,1139,158
best-dns-wordlist.txt,9544235,966,1,35,4820,1593,4418,410
bitquark-subdomains-top100000.txt,100000,271,1,24,1960,241,1139,223
common_prefixes.txt,2776714,895,1,38,9807,593,3843,325
companies_domains.txt,11933547,1103,0,30,3321,209,4417,186
deepmagic.com-prefixes-top500.txt,500,10,1,5,53,16,33,8
deepmagic.com-prefixes-top50000.txt,49928,86,1,15,1447,136,430,105
dns-Jhaddix.txt,2171687,855,1,32,4049,543,3669,317
dnsmapCommonSubdomains.txt,989,18,1,10,88,53,97,44
fierce-hostlist.txt,2280,35,1,14,247,77,152,60
namelist.txt,1907,31,1,14,209,75,136,59
shubs-stackoverflow.txt,64721,61,1,13,327,82,273,58
shubs-subdomains.txt,484699,410,1,21,1903,328,1592,156
sortedcombined-knock-dnsrecon-fierce-reconng.txt,102582,243,1,34,9806,178,1150,197
subdomains-top1million-110000.txt,114441,236,1,24,1630,217,1056,209
subdomains-top1million-20000.txt,19966,129,1,24,800,166,612,177
subdomains-top1million-5000.txt,4989,73,1,18,362,111,313,142
subrute_names.txt,101010,241,2,34,9809,173,1126,166
subrute_names_small.txt,31386,46,2,21,3057,80,198,71
provider-database,0,1483,2,58,9811,1974,6152,432
